מזהה,קטגוריה/שלב,שם משימה,אחראי,תאריך התחלה,תאריך סיום,משך (ימים),תלויות,הערות,startOffset,milestone
31,4.2 Training,קורס מנהלי מערכת (Infrastructure),Indigo Eng,2026-03-22,2026-03-27,5,30,,76,
32,4.2 Training,הכשרת אנליסטים על מוצרי Elta/QRadar,Elta/Indigo,2026-03-27,2026-04-06,10,31,,81,
33,5. Surveys,סקרי אתר ל-17 גופים (Site Surveys),Survey Team,2026-01-05,2026-03-06,60,,,0,
34,5.1 - 5.17,סקר אתר: VRA,Survey Team,2026-02-26,2026-03-01,3,18,SSR per org,52,
35,5.1 - 5.17,סקר אתר: GRIDCo,Survey Team,2026-02-26,2026-03-01,3,18,SSR per org,52,
36,5.1 - 5.17,סקר אתר: ECG,Survey Team,2026-02-26,2026-03-01,3,18,SSR per org,52,
37,5.1 - 5.17,סקר אתר: NEDCo,Survey Team,2026-02-26,2026-03-01,3,18,SSR per org,52,
38,5.1 - 5.17,סקר אתר: BPA,Survey Team,2026-02-26,2026-03-01,3,18,SSR per org,52,
39,5.1 - 5.17,סקר אתר: GNPC,Survey Team,2026-02-26,2026-03-01,3,18,SSR per org,52,
40,5.1 - 5.17,סקר אתר: GNGC,Survey Team,2026-02-26,2026-03-01,3,18,SSR per org,52,
41,5.1 - 5.17,סקר אתר: BOST,Survey Team,2026-02-26,2026-03-01,3,18,SSR per org,52,
42,5.1 - 5.17,סקר אתר: Energy Commission,Survey Team,2026-02-26,2026-03-01,3,18,SSR per org,52,
43,5.1 - 5.17,סקר אתר: PURC,Survey Team,2026-02-26,2026-03-01,3,18,SSR per org,52,
44,5.1 - 5.17,סקר אתר: MoE,Survey Team,2026-02-26,2026-03-01,3,18,SSR per org,52,
45,5.1 - 5.17,סקר אתר: VRA-Generation,Survey Team,2026-02-26,2026-03-01,3,18,SSR per org,52,
46,5.1 - 5.17,סקר אתר: Volta Aluminium,Survey Team,2026-02-26,2026-03-01,3,18,SSR per org,52,
47,5.1 - 5.17,סקר אתר: Tema Oil Refinery,Survey Team,2026-02-26,2026-03-01,3,18,SSR per org,52,
48,5.1 - 5.17,סקר אתר: Ghana Gas,Survey Team,2026-02-26,2026-03-01,3,18,SSR per org,52,
49,5.1 - 5.17,סקר אתר: Takoradi Plant,Survey Team,2026-02-26,2026-03-01,3,18,SSR per org,52,
50,5.1 - 5.17,סקר אתר: Karpowership,Survey Team,2026-02-26,2026-03-01,3,18,SSR per org,52,
51,5.18,אישור דוחות SSR סופיים מול הארגונים,צוות יעוץ,2026-03-01,2026-03-11,10,50,,55,
52,6. Core Build,הקמת מרכז ה-CERT (Core DC),Indigo Eng,2026-01-05,2026-02-14,40,,,0,
53,6.1 Physical,"התקנת Racks, כבילה וחשמל",Local Ops,2026-04-10,2026-04-17,7,27,,95,
54,6.2 Compute,התקנת שרתי Dell R660 ו-vSAN,Indigo Eng,2026-04-17,2026-04-27,10,53,,102,
55,6.3 Security,התקנת Fortinet Core והגדרת VPN Gateway,Security Eng,2026-04-27,2026-05-04,7,54,,112,
56,6.4 Apps,פריסת IBM QRadar Console/EP,Indigo Eng,2026-05-04,2026-05-14,10,55,,119,
57,6.5 Apps,"התקנת CyConcerto, CyScan, CyShare",Elta Eng,2026-05-14,2026-05-24,10,56,,129,
58,6.6 NOC,הקמת ה-SOC הפיזי (קיר וידאו/ריהוט),Local Ops,2026-04-17,2026-04-27,10,53,,102,
59,7. Remote Sites,אינטגרציית 17 אתרי קצה,Indigo Eng,2026-01-05,2026-03-06,60,,,0,
60,7.1 - 7.17,התקנת ציוד (FortiGate 80F) באתר: VRA,Indigo Eng,2026-04-10,2026-04-14,4,"51, 27",Install & connect,95,
61,7.1 - 7.17,התקנת ציוד (FortiGate 80F) באתר: GRIDCo,Indigo Eng,2026-04-10,2026-04-14,4,"51, 27",Install & connect,95,
62,7.1 - 7.17,התקנת ציוד (FortiGate 80F) באתר: ECG,Indigo Eng,2026-04-10,2026-04-14,4,"51, 27",Install & connect,95,
63,7.1 - 7.17,התקנת ציוד (FortiGate 80F) באתר: NEDCo,Indigo Eng,2026-04-10,2026-04-14,4,"51, 27",Install & connect,95,
64,7.1 - 7.17,התקנת ציוד (FortiGate 80F) באתר: BPA,Indigo Eng,2026-04-10,2026-04-14,4,"51, 27",Install & connect,95,
65,7.1 - 7.17,התקנת ציוד (FortiGate 80F) באתר: GNPC,Indigo Eng,2026-04-10,2026-04-14,4,"51, 27",Install & connect,95,
66,7.1 - 7.17,התקנת ציוד (FortiGate 80F) באתר: GNGC,Indigo Eng,2026-04-10,2026-04-14,4,"51, 27",Install & connect,95,
67,7.1 - 7.17,התקנת ציוד (FortiGate 80F) באתר: BOST,Indigo Eng,2026-04-10,2026-04-14,4,"51, 27",Install & connect,95,
68,7.1 - 7.17,התקנת ציוד (FortiGate 80F) באתר: Energy Commission,Indigo Eng,2026-04-10,2026-04-14,4,"51, 27",Install & connect,95,
69,7.1 - 7.17,התקנת ציוד (FortiGate 80F) באתר: PURC,Indigo Eng,2026-04-10,2026-04-14,4,"51, 27",Install & connect,95,
70,7.1 - 7.17,התקנת ציוד (FortiGate 80F) באתר: MoE,Indigo Eng,2026-04-10,2026-04-14,4,"51, 27",Install & connect,95,
71,7.1 - 7.17,התקנת ציוד (FortiGate 80F) באתר: VRA-Generation,Indigo Eng,2026-04-10,2026-04-14,4,"51, 27",Install & connect,95,
72,7.1 - 7.17,התקנת ציוד (FortiGate 80F) באתר: Volta Aluminium,Indigo Eng,2026-04-10,2026-04-14,4,"51, 27",Install & connect,95,
73,7.1 - 7.17,התקנת ציוד (FortiGate 80F) באתר: Tema Oil Refinery,Indigo Eng,2026-04-10,2026-04-14,4,"51, 27",Install & connect,95,
74,7.1 - 7.17,התקנת ציוד (FortiGate 80F) באתר: Ghana Gas,Indigo Eng,2026-04-10,2026-04-14,4,"51, 27",Install & connect,95,
75,7.1 - 7.17,התקנת ציוד (FortiGate 80F) באתר: Takoradi Plant,Indigo Eng,2026-04-10,2026-04-14,4,"51, 27",Install & connect,95,
76,7.1 - 7.17,התקנת ציוד (FortiGate 80F) באתר: Karpowership,Indigo Eng,2026-04-10,2026-04-14,4,"51, 27",Install & connect,95,
77,7.18,הקמת VPN Tunnels ואימות תקשורת,Security Eng,2026-04-14,2026-04-24,10,76,,99,
78,7.19,התקנת OT Passive Taps באתרי הייצור,OT Expert,2026-04-24,2026-05-09,15,77,,109,
79,8. DR Site,הקמת אתר ה-DR (Disaster Recovery),System Eng,2026-01-05,2026-02-04,30,,,0,
80,8.1 Build,התקנת חומרה באתר המשני,Local Ops,2026-04-10,2026-04-17,7,27,,95,
81,8.2 Rep,הגדרת Unity Async Replication,Indigo Eng,2026-04-17,2026-04-24,7,80,,102,
82,8.3 SRM,הגדרת VMware SRM ל-Failover אוטומטי,Indigo Eng,2026-04-24,2026-05-01,7,81,,109,
83,9. ATP Core,בדיקות קבלה - ליבה (ATP Group A/B),צוות יעוץ/Elta,2026-01-05,2026-02-04,30,,,0,
84,9.1 Infra,בדיקת יתירות חשמל (Pull the Plug),System Eng,2026-04-27,2026-04-28,1,54,,112,
85,9.1 Infra,בדיקת ביצועי Storage (IOMeter),System Eng,2026-04-27,2026-04-29,2,54,,112,
86,9.1 Infra,בדיקת יתירות שרתים (vMotion/HA),System Eng,2026-04-27,2026-04-29,2,54,,112,
87,9.2 SIEM,בדיקת קליטת לוגים (EPS Validation),Indigo Eng,2026-05-14,2026-05-17,3,56,,129,
88,9.2 Apps,בדיקת פונקציונליות CyConcerto (SOAR),Elta Eng,2026-05-24,2026-05-27,3,57,,139,
89,9.2 Apps,בדיקת סריקת פגיעות CyScan,Elta Eng,2026-05-24,2026-05-26,2,57,,139,
90,9.2 Apps,בדיקת שיתוף מידע CyShare,Elta Eng,2026-05-24,2026-05-26,2,57,,139,
91,10. ATP Scenarios,בדיקות תרחישים מבצעיים (ConOps),Elta/Indigo,2026-01-05,2026-01-25,20,,,0,
92,10.1 Case 1,תרחיש: מודיעין איומים והפצה לארגונים,Elta Eng,2026-05-27,2026-05-30,3,88,,142,
93,10.2 Case 2,תרחיש: מתקפה מגזרית רוחבית,Elta Eng,2026-05-30,2026-06-04,5,92,,145,
94,10.3 Case 3,תרחיש: סיוע פורנזי (Forensic Lab Test),Indigo Eng,2026-06-04,2026-06-07,3,93,,150,
95,10.4 Case 4,תרחיש: חסימת EDR באתר מרוחק,Security Eng,2026-06-07,2026-06-10,3,94,,153,
96,11. ATP Remote,בדיקות קבלה - 17 אתרים (Group C),Indigo Eng,2026-01-05,2026-02-04,30,,,0,
97,11.1 - 11.17,בדיקת ATP באתר: VRA (VPN וזמינות),Indigo Eng,2026-04-24,2026-04-25,1,77,Group C per org,109,
98,11.1 - 11.17,בדיקת ATP באתר: GRIDCo (VPN וזמינות),Indigo Eng,2026-04-24,2026-04-25,1,77,Group C per org,109,
99,11.1 - 11.17,בדיקת ATP באתר: ECG (VPN וזמינות),Indigo Eng,2026-04-24,2026-04-25,1,77,Group C per org,109,
100,ATP Stage A,בדיקות קבלה תשתית פיזית (Facility),Indigo,2026-04-14,2026-04-16,2,60,Section 4.1 in ATP Doc,99,
101,A.1,בדיקת ויזואלית של ארונות תקשורת (Inventory),Indigo,2026-01-05,2026-01-06,1,61,וידוא מול BOM,0,
102,A.2,בדיקת כבילה וסימון (Labeling),Indigo,2026-01-05,2026-01-06,1,61,,0,
103,A.3,בדיקת יתירות הזנות חשמל (Dual PDU),Indigo,2026-01-05,2026-01-06,1,101,ניסוי ניתוק הזנה א',0,
104,A.4,בדיקת יתירות הזנות חשמל (Dual PDU),Indigo,2026-01-05,2026-01-06,1,103,ניסוי ניתוק הזנה ב',0,
105,A.5,בדיקת מערכת כיבוי אש ומיזוג בחדר השרתים,Local,2026-01-05,2026-01-06,1,101,,0,
106,11.1 - 11.17,בדיקת ATP באתר: PURC (VPN וזמינות),Indigo Eng,2026-04-24,2026-04-25,1,77,Group C per org,109,
107,11.1 - 11.17,בדיקת ATP באתר: MoE (VPN וזמינות),Indigo Eng,2026-04-24,2026-04-25,1,77,Group C per org,109,
108,11.1 - 11.17,בדיקת ATP באתר: VRA-Generation (VPN וזמינות),Indigo Eng,2026-04-24,2026-04-25,1,77,Group C per org,109,
109,11.1 - 11.17,בדיקת ATP באתר: Volta Aluminium (VPN וזמינות),Indigo Eng,2026-04-24,2026-04-25,1,77,Group C per org,109,
110,ATP Stage B,בדיקות קבלה חומרה ושרתים (Hardware),System Eng,2026-04-14,2026-04-16,2,61,Section 4.2 in ATP Doc,99,
111,B.1,בדיקת iDRAC Connectivity לכל שרתי Dell,System,2026-01-05,2026-01-06,1,62,,0,
112,B.2,בדיקת Storage Health (Unity Array),System,2026-01-05,2026-01-06,1,62,וידוא תקינות דיסקים,0,
113,B.3,בדיקת Disk Failure (הוצאת דיסק פיזי),System,2026-01-05,2026-01-06,1,112,וידוא Hot-Spare,0,
114,B.4,בדיקת יתירות מתגי Core (Switch Stack),System,2026-01-05,2026-01-06,1,55,ניתוק כבל Stack,0,
115,B.5,בדיקת Network Latency בתוך ה-DC,System,2026-01-05,2026-01-06,1,114,,0,
116,12. ATP DR,בדיקות קבלה - DR (Group D),Indigo Eng,2026-01-05,2026-01-20,15,,,0,
117,12.1 Sync,בדיקת עמידה ב-RPO (Sync Validation),System Eng,2026-05-01,2026-05-03,2,82,,116,
118,12.2 Failover,הרצת SRM Failover מלא לאתר DR,System Eng,2026-05-03,2026-05-08,5,117,RTO Check,118,
119,12.3 Failback,בדיקת חזרה לאתר ראשי (Failback),System Eng,2026-05-08,2026-05-11,3,118,,123,
120,ATP Stage C,בדיקות וירטואליזציה (VMware),System Eng,2026-04-14,2026-04-16,2,63,Section 4.3 in ATP Doc,99,
121,C.1,בדיקת יתירות שרתים (HA) - כיבוי שרת פיזי,System,2026-01-05,2026-01-06,1,63,מעבר אוטומטי של VMs,0,
122,C.2,בדיקת vMotion (העברת VM ללא ניתוק),System,2026-01-05,2026-01-06,1,121,,0,
123,C.3,בדיקת עומסי CPU/RAM על ה-Cluster,System,2026-01-05,2026-01-06,1,122,,0,
124,C.4,בדיקת יתירות vSAN (Disk Group Failure),System,2026-01-05,2026-01-06,1,122,,0,
130,ATP Stage D,בדיקות מערכות ליבה (CERT Tools),Elta/Indigo,2026-04-14,2026-04-16,2,65,Section 5.0 in ATP Doc,99,
131,D.1,IBM QRadar: בדיקת Log Sources מ-17 גופים,Indigo,2026-01-05,2026-01-06,1,77,וידוא EPS יציב,0,
132,D.2,IBM QRadar: בדיקת Flow Sources (Network Traffic),Indigo,2026-01-05,2026-01-06,1,131,,0,
133,D.3,CyConcerto: בדיקת אינטגרציה מול SIEM,Elta,2026-01-05,2026-01-06,1,57,הקפצת Case אוטומטי,0,
134,D.4,CyConcerto: בדיקת Dashboard וממשק משתמש,Elta,2026-01-05,2026-01-06,1,133,,0,
135,D.5,CyScan: הרצת סריקה על רשת ה-DC,Elta,2026-01-05,2026-01-06,1,57,,0,
136,D.6,CyShare: העלאת והורדת קובץ מודיעין,Elta,2026-01-05,2026-01-06,1,57,בדיקת הרשאות,0,
137,D.7,Centerity: בדיקת התראות NMS (IT/OT),Indigo,2026-01-05,2026-01-06,1,60,,0,
140,ATP Stage E,בדיקות תרחישים (Operational/ConOps),Elta,2026-01-05,2026-01-07,2,133,Section 6.0 in ATP Doc,0,
141,E.1,תרחיש: זיהוי Brute Force ונעילת משתמש,Elta,2026-01-05,2026-01-06,1,131,Use Case 1,0,
142,E.2,תרחיש: זיהוי Ransomware ב-Endpoint,Elta,2026-01-05,2026-01-06,1,95,Use Case 2,0,
143,E.3,תרחיש: מתקפת DDOS מגזרית (Multi-Site),Elta,2026-01-05,2026-01-06,1,141,Use Case 3,0,
144,E.4,תרחיש: הדמיית דליפת גז (OT Alert),Elta,2026-01-05,2026-01-06,1,114,Use Case 4,0,
145,E.5,תרחיש: ניהול אירוע ב-CyConcerto מקצה לקצה,Elta,2026-01-05,2026-01-06,1,143,,0,
150,ATP Stage F,בדיקות שרידות ואתר משני (DR),צוות יעוץ/Eng,2026-05-01,2026-05-03,2,82,Section 7.0 in ATP Doc,116,
151,F.1,בדיקת Replication Health (Unity),System,2026-01-05,2026-01-06,1,81,,0,
152,F.2,בדיקת SRM Recovery Plan (Simulation),System,2026-01-05,2026-01-06,1,82,ללא ניתוק בפועל,0,
153,F.3,בדיקת Failover מלאה (אתר ראשי מושבת),System,2026-01-05,2026-01-06,1,152,מעבר לאתר משני,0,
154,F.4,בדיקת זמינות אפליקציות באתר ה-DR,System,2026-01-05,2026-01-06,1,153,,0,
155,F.5,בדיקת Failback (חזרה לאקרה),System,2026-01-05,2026-01-06,1,154,,0,
160,ATP Stage G,בדיקות 17 אתרי קצה (Remote Sites),Indigo,2026-01-05,2026-01-07,2,77,Section 8.0 in ATP Doc,0,
161,G.1,בדיקת Firewall & VPN – VRA,Indigo,2026-04-24,2026-04-25,1,77,Group C per org,109,
162,G.2,בדיקת Firewall & VPN – GRIDCo,Indigo,2026-04-24,2026-04-25,1,77,Group C per org,109,
163,G.3,בדיקת Firewall & VPN – ECG,Indigo,2026-04-24,2026-04-25,1,77,Group C per org,109,
164,G.4,בדיקת Firewall & VPN – NEDCo,Indigo,2026-04-24,2026-04-25,1,77,Group C per org,109,
165,G.5,בדיקת Firewall & VPN – BPA,Indigo,2026-04-24,2026-04-25,1,77,Group C per org,109,
166,G.6,בדיקת Firewall & VPN – GNPC,Indigo,2026-04-24,2026-04-25,1,77,Group C per org,109,
167,G.7,בדיקת Firewall & VPN – GNGC,Indigo,2026-04-24,2026-04-25,1,77,Group C per org,109,
168,G.8,בדיקת Firewall & VPN – BOST,Indigo,2026-04-24,2026-04-25,1,77,Group C per org,109,
169,G.9,בדיקת Firewall & VPN – Energy Commission,Indigo,2026-04-24,2026-04-25,1,77,Group C per org,109,
170,G.10,בדיקת Firewall & VPN – PURC,Indigo,2026-04-24,2026-04-25,1,77,Group C per org,109,
171,G.11,בדיקת Firewall & VPN – MoE,Indigo,2026-04-24,2026-04-25,1,77,Group C per org,109,
172,G.12,בדיקת Firewall & VPN – VRA-Generation,Indigo,2026-04-24,2026-04-25,1,77,Group C per org,109,
173,G.13,בדיקת Firewall & VPN – Volta Aluminium,Indigo,2026-04-24,2026-04-25,1,77,Group C per org,109,
174,G.14,בדיקת Firewall & VPN – Tema Oil Refinery,Indigo,2026-04-24,2026-04-25,1,77,Group C per org,109,
175,G.15,בדיקת Firewall & VPN – Ghana Gas,Indigo,2026-04-24,2026-04-25,1,77,Group C per org,109,
176,G.16,בדיקת Firewall & VPN – Takoradi Plant,Indigo,2026-04-24,2026-04-25,1,77,Group C per org,109,
177,G.17,בדיקת Firewall & VPN – Karpowership,Indigo,2026-04-24,2026-04-25,1,77,Group C per org,109,
178,G.18,בדיקת Local Backup (Veeam) בכל אתר,System,2026-01-05,2026-01-06,1,161,,0,
179,G.19,בדיקת ניטור OT Tap וזיהוי פרוטוקול,OT Exp,2026-01-05,2026-01-06,1,78,,0,
180,Closure,"סיכום, תיעוד ומסירה",צוות יעוץ,2026-01-05,2026-01-07,2,155,,0,
181,13.1,איסוף חתימות ATP מכל 17 הגופים,צוות יעוץ,2026-01-05,2026-01-06,1,177,,0,
182,13.2,הכנת דוח ATP סופי (Final Test Report),צוות יעוץ,2026-01-05,2026-01-06,1,181,,0,true
183,13.3,"מסירת ספר ""As-Built"" מעודכן",צוות יעוץ,2026-01-05,2026-01-06,1,182,,0,
184,13.4,העברת אחריות לצוות O&M (תמיכה),צוות יעוץ,2026-01-05,2026-01-06,1,183,,0,
185,13.5,חתימה על תעודת קבלה סופית (PAC),צוות יעוץ,2026-01-05,2026-01-06,1,184,,0,
